COD_CIDADE,COD_REG,Região de Saúde,Casos,População Normalizada
1,3,. Cruzeiro,359.0,0.0043754763876848
2,3,. Lago Norte,512.0,0.0050693852470175
3,3,. Lago Sul,460.0,0.0040311803040084
4,3,. Plano Piloto,2008.0,0.0325167270379726
5,3,. Sudoeste Octogonal,179.0,0.0073591072597495
6,3,. Varjão,126.0,0.0007148534034964
7,3,. Candangolândia,261.0,0.0018790478352444
8,3,. Estrutural,237.0,0.0042422368644277
9,3,. Guará,2887.0,0.0166736293850021
10,3,. Núcleo Bandeirante,251.0,0.003025358848514
11,3,. Park Way,202.0,0.0025760178202626
12,4,. Riacho Fundo I,568.0,0.0049839959515807
13,4,. Riacho Fundo II,515.0,0.0052767362342386
14,3,. SIA,14.0,0.0
15,5,. Jardim Botânico,443.0,0.0050764741696575
16,5,. Itapoã,568.0,0.0076903532812931
17,5,. Paranoá,656.0,0.0070768392491735
18,5,. São Sebastião,2736.0,0.0113123094147176
19,2,. Fercal,257.0,0.000710020047151
20,2,. Planaltina,2577.0,0.0271152902100206
21,2,. Sobradinho,2570.0,0.0106166283247248
22,2,. Sobradinho II,2735.0,0.012320869772141
23,1,. Brazlândia,648.0,0.0086384966843981
24,1,. Ceilândia,5249.0,0.0646986635930816
25,3,. Águas Claras,1190.0,0.0152366725434909
26,4,. Recanto Das Emas,1384.0,0.0192140414801863
27,4,. Samambaia,3422.0,0.0317187399053338
28,3,. Taguatinga,3425.0,0.0324392322245667
29,3,. Vicente Pires,1986.0,0.0091366546117389
30,4,. Gama,4735.0,0.0209756387562356
31,4,. Santa Maria,3814.0,0.0185818384701976
32,7,Angra dos Reis,187.0,0.0262738028702725
33,8,Rio de janeiro,1536.0,1.0
34,6,Campos de Goytacazes,18.0,0.0070886004162808
35,9,Valença,104.0,0.0102679822203375
